Date,Description,Amount,Balance
2026-04-01,BRISTOL WORKSPACE LTD,-3200.00,46918.82
2026-04-02,PAYPAL *SLACK,-180.00,46738.82
2026-04-02,ADOBE *MONTHLY,-79.00,46659.82
2026-04-03,MSFT *MICROSOFT 365,-220.00,46439.82
2026-04-05,NORTHWIND TRADING LTD,2500.00,48939.82
2026-04-07,PENHALIGON ACCOUNTANCY,-450.00,48489.82
2026-04-09,MERIDIAN WHOLESALE FOODS,1840.00,50329.82
2026-04-10,CASTLEBRIDGE UNIVERSITY,4500.00,54829.82
2026-04-12,INKWELL PRINT CO,-2200.00,52629.82
2026-04-15,HARBOURLINE MEDIA LTD,1450.00,54079.82
2026-04-18,DELTA HOLDINGS,600.00,54679.82
2026-04-20,ADOBE *MONTHLY,-79.00,54600.82
2026-04-22,STRIPE PAYOUT ONLINE STORE,2140.18,56741.00
2026-04-28,BANK SERVICE CHARGE,-15.00,56726.00
