txn_id,date,description,amount
B001,2026-01-02,BROOKLYN REALTY LLC RENT JANUARY,4800.00
B002,2026-01-03,PS 58 ELEMENTARY SCHOOL BOOK ORDER,1240.00
B003,2026-01-05,PENGUIN RANDOM HOUSE WHOLESALE,2150.00
B004,2026-01-07,GREENPOINT BRANCH LIBRARY ACH,865.50
B005,2026-01-09,BROOKLYN PUBLIC SCHOOLS INSTALLMENT 1,1500.00
B006,2026-01-10,INGRAM CONTENT GRP NASHVILLE,1432.75
B007,2026-01-11,CON EDISON ELECTRIC,312.40
B008,2026-01-12,PARK SLOPE CAFE CONSOLIDATED PMT,750.00
B009,2026-01-12,MACMILLAN PUBLISHERS PMT 1,1350.00
B010,2026-01-13,BROOKLYN BREWERY EVENT BOOK SALES,530.00
B011,2026-01-13,BROOKLYN BREWERY EVENT BOOK SALES,530.00
B012,2026-01-14,HARPERCOLLINS PUBLISHERS WIRE,2200.00
B013,2026-01-14,BROOKLYN PUBLIC SCHOOLS INSTALLMENT 2,1500.00
B014,2026-01-15,STRIPE TRANSFER ST-9921,1875.32
B015,2026-01-15,SHOPIFY MONTHLY SUBSCRIPTION,79.00
B016,2026-01-17,BK COFFEE ROASTERS CAFE SUPPLIES,145.00
B017,2026-01-17,BK COFFEE ROASTERS CAFE SUPPLIES,145.00
B018,2026-01-19,BROOKLYN PUBLIC SCHOOLS INSTALLMENT 3,1500.00
B019,2026-01-19,WILLIAMSBURG HS PARTIAL PAYMENT,900.00
B020,2026-01-20,MACMILLAN PUBLISHERS PMT 2,1350.00
B021,2026-01-20,USPS POSTAGE SHIPPING,88.50
B022,2026-01-22,FORT GREENE CAFE,474.50
B023,2026-01-22,SQUARE INC POS DEPOSIT,642.18
B024,2026-01-31,MONTHLY ACCOUNT FEE,35.00
