Date,Description,Amount,Balance
2026-03-01,BRISTOL WORKSPACE LTD,-3200.00,36800.00
2026-03-02,PAYPAL *SLACK,-180.00,36620.00
2026-03-02,ADOBE *MONTHLY,-79.00,36541.00
2026-03-03,MSFT *MICROSOFT 365,-220.00,36321.00
2026-03-05,NORTHWIND TRADING LTD,2500.00,38821.00
2026-03-06,FIGMA.COM SUBSCRIPTION,-150.00,38671.00
2026-03-07,PENHALIGON ACCOUNTANCY,-450.00,38221.00
2026-03-09,MERIDIAN WHOLESALE FOODS,1840.00,40061.00
2026-03-10,TOM HARGREAVES,-1350.00,38711.00
2026-03-12,SUMMIT OUTDOORS CO,750.00,39461.00
2026-03-14,HARBOURLINE MEDIA LTD,1200.00,40661.00
2026-03-18,STRIPE*QUAY ST BISTRO,497.50,41158.50
2026-03-20,ZEPHYR TECH SOLUTIONS,3250.00,44408.50
2026-03-22,DELTA HOLDINGS,600.00,45008.50
2026-03-25,STRIPE PAYOUT ONLINE STORE,1875.32,46883.82
2026-03-26,BANK SERVICE CHARGE,-15.00,46868.82
2026-03-28,BRIGHTWATER LABS DEPOSIT,5000.00,51868.82
2026-03-28,HMRC VAT Q4 2025,-1250.00,50618.82
2026-03-30,CASTLEBRIDGE UNIVERSITY,4500.00,55118.82
2026-03-31,TRANSFER TO SAVINGS ACCOUNT,-5000.00,50118.82
